FIPS,CountyName,State,hf_case_fatality,unemployment,no_hs_diploma,pct_black,hospitals,pop_per_pcp,poverty,uninsured_under65,pct_hispanic,urban_rural,diuretic_nonadherence,ras_nonadherence,pm25,heart_disease_prev,cardiac_rehab_participation,ma_penetration,hf_hosp_rate,ffs_beneficiaries,est_hosp_volume
12019,Clay,FL,2.5,3.4,7.5,11.6,2,1.8,9.1,10.4,11.4,2,26.8,18.7,8.5,35.6,12.7,32.79,15.9,29587,470433.3
12021,Collier,FL,2.6,3.3,10,6.3,2,1.3,10.4,18.1,28.1,3,24.6,17.1,7.7,34.9,38.1,29.65,12.2,73057,891295.4
12031,Duval,FL,2.5,3.5,8.7,28.1,8,1.2,12.2,12,12.3,1,28.3,20.4,8.6,34.9,31.4,43.59,17.5,94963,1661852.5
12033,Escambia,FL,2,3.6,9.1,20.7,4,1.3,14.5,14.1,6.9,3,25.9,18.3,9,33.2,21.2,38.1,17.5,44056,770980.0
12053,Hernando,FL,3.3,4,9.6,4.7,2,1.8,10.4,12.8,16.9,2,23.4,16.8,7.9,42.6,6.8,59.76,17.0,24076,409292.0
12055,Highlands,FL,2.3,4.8,13.4,9.2,2,1.8,15.5,16.7,22.1,3,26,19.3,7.5,39.5,18.4,43.84,16.8,18974,318763.2
12057,Hillsborough,FL,2.4,3.4,10.3,15.3,9,1.3,11.7,12.6,30.3,1,25.1,17.8,7.8,35.9,20.1,54.62,18.5,109548,2026638.0
12061,Indian River,FL,2.7,4,8,7.7,2,1.6,9.2,14.7,13.8,3,23.9,16.9,7.1,33.5,31.8,32.76,11.7,36654,428851.8
12069,Lake,FL,2,3.5,8.6,10.1,4,1.8,9,13.3,18.7,2,25.5,17.8,8.1,40.3,32.3,45.52,14.8,57927,857319.6
12071,Lee,FL,2.4,3.5,9.7,7.6,4,1.7,11.4,15.7,24.7,3,24.8,16.8,7.4,35.2,45.1,40.18,14.7,119693,1759487.1
12073,Leon,FL,3,3.4,6.2,30.1,2,1.1,21.3,10.4,8.1,3,27.1,19.6,7.7,31.4,17.7,52.87,17.0,22044,374748.0
12081,Manatee,FL,1.9,3.5,9.1,7.6,3,1.6,9.8,13.8,18.3,3,23.8,16.4,8,36.6,21.4,41.36,12.5,61343,766787.5
12083,Marion,FL,2.4,4.2,10.4,11.5,2,2,14.3,14.2,17,3,25.6,17.4,8.1,40.3,34.5,51.15,16.3,58210,948823.0
12085,Martin,FL,2.1,3.5,7,4.6,1,1.6,8.6,14.2,15.9,3,25.6,17.6,7.4,33.9,28,33.87,12.6,31054,391280.4
12086,Miami-Dade,FL,3.4,2.4,16.1,14,19,1.2,14.2,14.8,69.3,1,23.7,16.5,7.7,35.8,10,72.22,16.5,131954,2177241.0
12091,Okaloosa,FL,3.1,3.1,6.7,9.1,4,1.5,10.6,12,11.3,3,27.1,18.4,9.1,33.6,26.3,23.18,15.2,32068,487433.6
12095,Orange,FL,1.9,3.3,9.4,19,5,1.1,12.4,12.8,33.8,1,27.2,19.3,6.5,37.6,19.1,54.02,20.3,88599,1798559.7
12097,Osceola,FL,2,3.5,10.5,9.8,3,2.5,13,12.7,55.9,2,27.9,18.6,8.3,37.1,14.5,65.3,21.9,21724,475755.6
12099,Palm Beach,FL,2.5,3.3,10.8,18,13,1.3,11.7,15.5,24.4,2,26.9,18.1,6.7,37.7,32.2,42.39,12.4,190035,2356434.0
12101,Pasco,FL,1.9,3.7,8.5,6,7,1.7,10.7,11.8,18.6,2,24.5,16.6,8.3,39,16.6,60.47,17.8,53616,954364.8
12103,Pinellas,FL,2.5,3.2,7.2,9.4,11,1,10.8,13.4,11.2,1,25,16.5,7.7,34.7,30.3,53.5,14.7,115500,1697850.0
12105,Polk,FL,2.6,4.2,12.1,14,5,2.3,13.4,14.6,29.1,3,25.7,18.3,7.7,35.8,18.6,58.82,16.8,65620,1102416.0
12111,St. Lucie,FL,1.5,3.9,10.8,20.8,2,2.9,11.5,14.2,21.8,3,25.1,18.2,7.4,36.1,14.7,46.54,18.5,44054,814999.0
12115,Sarasota,FL,2.2,3.5,5.2,3.8,4,1.3,8.6,13.1,10.6,3,22.9,15.8,6.8,34.5,35.6,34.75,11.4,96391,1098857.4
12117,Seminole,FL,1.8,3.1,6,11.1,2,1.3,9,10.3,23.9,2,26.3,17.7,6.9,38.4,15.6,47.51,18.6,43212,803743.2
12127,Volusia,FL,2.3,3.8,7.9,10.3,6,1.4,10.8,12,16.3,3,26,17,7.5,34.8,21.5,54.16,16.2,69497,1125851.4
13021,Bibb,GA,3.1,4.4,12.6,54.6,4,0.7,23.4,12.9,4.7,3,28.9,22.3,9.2,34.6,20.1,46.35,18.6,16642,309541.2
13051,Chatham,GA,3.8,3,8.9,38.3,3,1.1,13.9,13.4,8.2,3,26.5,20.9,9,28.2,42.8,45.14,14.8,28127,416279.6
13057,Cherokee,GA,5.2,2.8,7.5,7,1,2.6,6.8,11.7,12.4,2,26.3,16.7,10.4,33.5,50,40.37,15.6,26121,407487.6
13063,Clayton,GA,2.9,4.3,14.5,68.5,1,4.1,17.4,15.8,14.5,2,29.6,23,8.7,26.3,10.6,56.77,18.1,15990,289419.0
13067,Cobb,GA,2.7,3.2,7,26.3,2,1.3,8.7,11.8,15,2,26.2,17.9,8.6,32,43.3,40.11,16.0,63988,1023808.0
13089,DeKalb,GA,2.7,3.6,9.2,50.3,4,0.9,12.7,13.4,10.5,2,27.8,20.4,9.6,27,28.8,51.06,16.5,52044,858726.0
13095,Dougherty,GA,5.7,4.8,14,70.1,1,1,23.6,13.8,3.2,3,28.8,21.1,10.8,26.1,40.8,47.84,16.7,9076,151569.2
13121,Fulton,GA,2.2,3.5,6.2,42.1,6,0.9,11.3,10.1,8.1,1,28.6,20.5,9.5,29.1,30.2,45.83,16.2,75620,1225044.0
13135,Gwinnett,GA,2.3,3.1,12.1,27.7,3,1.4,10.4,16.8,23.7,2,27.5,18.8,10.8,30,22.3,47.57,13.8,58371,805519.8
13139,Hall,GA,4,2.7,19,6.6,1,1.4,10.1,17,29.1,3,27.3,18.2,9.3,33.9,43.4,39.82,15.5,22059,341914.5
13153,Houston,GA,3,2.9,7.5,32.2,1,1.9,11.9,11.5,7.5,3,28.9,21.6,10.1,38.6,19.8,29.95,18.4,18342,337492.8
13185,Lowndes,GA,4,3.8,9.9,36.9,1,1.7,18.1,13.2,7.1,3,28.6,21.3,7.5,31.7,37.6,32.24,18.0,12799,230382.0
13215,Muscogee,GA,3.3,4,10.5,46.1,2,0.9,17.3,12.3,8.5,3,27.6,22.3,9.1,34.3,37.5,41.14,16.1,21031,338599.1
13245,Richmond,GA,4,5,12.2,55.7,5,1,19,13.8,5.7,3,27.2,22.1,10.7,27.4,32.2,46.24,14.9,20093,299385.7
15001,Hawaii,HI,3.9,3,6.8,0.7,5,1.4,15.7,4.6,11.6,4,25.8,16.8,3.3,23,10.5,36.48,9.1,29464,268122.4
15003,Honolulu,HI,5,2.5,6.8,2.1,9,1.1,8.8,3.6,9.4,3,27.1,16.3,3.9,22.2,4.3,50.53,7.5,92540,694050.0
16001,Ada,ID,4.5,3.2,4.8,1.2,4,1.1,8.9,7.9,9.8,3,21.1,14.7,5.4,25.1,43.9,51.55,8.9,41268,367285.2
17019,Champaign,IL,3.9,4.3,4.9,13.3,2,0.9,18.8,6.5,8.2,3,20.7,15.5,8.1,30.4,45,49.73,25.3,15247,385749.1
17029,Coles,IL,5.2,3.9,8.9,3.5,1,1.4,14.5,5.9,3.8,4,21.3,14.5,9,36.5,51.5,23.67,27.5,7493,206057.5
17031,Cook,IL,2.6,5.3,11.4,21.8,46,1,13.7,9,26.7,1,24.7,18.3,10.8,30.2,33.7,33.2,20.8,553687,11516689.6
17043,DuPage,IL,2.3,4.3,7,4.8,7,0.8,6.3,5.8,16,2,21.5,14.8,11,31.4,51.8,27.0,16.2,118590,1921158.0
17089,Kane,IL,1.3,5,12.6,4.7,4,2.5,7.3,8.6,33.3,2,21.9,15.6,8.8,30.9,46.8,29.5,17.3,57061,987155.3
17097,Lake,IL,2.1,5.1,9.4,6.3,4,1,7.8,6.9,24.8,2,21.4,15.1,9.8,29.6,42.1,20.89,16.7,90427,1510130.9
17099,La Salle,IL,3.1,5.7,8.2,2.4,2,2.9,12.8,5.9,11.1,4,19.5,12.7,9.7,31.3,43.8,17.04,18.5,20168,373108.0
17111,McHenry,IL,1.5,4.5,6.3,1.3,3,2.2,6.3,5.3,16,2,22.1,15.5,7.8,33.6,38.9,20.5,20.5,43034,882197.0
17113,McLean,IL,3.6,3.9,4.1,8.3,2,1.7,11.6,5.4,6.4,3,19.7,12.8,9.4,31.1,53.9,33.87,17.5,18078,316365.0
17115,Macon,IL,4.2,5.8,6.9,16.2,2,1.1,16.7,5,2.8,3,21.6,16.6,9.5,39.9,36.5,21.74,22.3,18981,423276.3
17119,Madison,IL,2.8,4.3,6.1,7.6,5,2.1,9.6,5.4,4.3,2,21.7,15.5,11.2,34.4,33.7,40.45,22.3,32903,733736.9
17143,Peoria,IL,4.1,5.4,6.6,17.2,3,0.7,15.3,5.8,6,3,19.9,13.3,8,29.7,47.3,37.94,17.6,22598,397724.8
17161,Rock Island,IL,3.1,5.5,9.3,10.9,2,2.1,12.6,6.5,14.2,3,20.9,15.1,8.6,37.6,40.3,43.45,15.9,17613,280046.7
17163,St. Clair,IL,2.3,4.7,6.5,27.6,3,1.5,12.7,5.8,5,2,23.2,17.4,9.2,35.6,42.5,41.14,23.0,29116,669668.0
17167,Sangamon,IL,4.7,4.3,5.9,12.5,2,0.8,9.7,5.5,2.9,3,21.3,15.3,8.2,37.6,49.8,41.82,22.3,24292,541711.6
17179,Tazewell,IL,5,4.5,5.7,1.5,2,2.3,8.3,5.2,2.6,3,19.5,13.3,9.2,31.1,50,32.95,16.5,19414,320331.0
17183,Vermilion,IL,3.2,5.9,9,14.6,3,2.7,17.3,5.8,5.5,4,20.9,16,9,34,39,43.34,32.4,9926,321602.4
17197,Will,IL,2.1,5.1,8.2,11.5,3,1.9,7.7,5.5,19.7,2,22,15.7,9.8,34.5,38.6,29.36,22.5,75595,1700887.5
17201,Winnebago,IL,2.4,5.6,11.2,11.5,2,1.3,14.8,7.3,15.5,3,21.8,15.2,10.3,30.7,42.1,41.43,18.2,34699,631521.8
18003,Allen,IN,3.4,3.8,9.7,10.4,5,1.3,12.3,9.3,9,3,20.9,15.9,8.9,31.9,50.6,53.38,12.4,31590,391716.0
18035,Delaware,IN,2.8,4.6,9.5,5.1,1,0.9,20.5,8.1,3.2,3,22.6,16.8,8.3,32.6,35.9,34.69,22.2,15471,343456.2
18039,Elkhart,IN,3.4,4.8,17.8,4.6,2,2.1,10.8,13,20,3,22.7,16.2,8.2,33.2,55.5,38.19,11.5,21628,248722.0
18057,Hamilton,IN,3.6,3.2,2.7,4.4,6,0.7,4.7,4.3,5.6,2,20.2,14.8,10.2,31.9,54.8,33.9,11.6,32244,374030.4
18067,Howard,IN,4.1,6.6,8.2,7.3,2,1.8,13.6,7,4.1,3,23.5,17.8,7.3,35.7,50.3,35.15,17.2,12793,220039.6
18081,Johnson,IN,3.8,3.4,7.7,3.2,1,1.2,7.3,5.8,4.3,2,22,15.6,9.8,34.2,42.8,36.77,16.7,17988,300399.6
18089,Lake,IN,3.3,5.5,9.8,22.7,9,1.9,13.3,7.4,20.9,2,25.7,19.6,10.3,35.8,37.6,34.88,27.3,62055,1694101.5
18091,LaPorte,IN,3,4.5,9.2,10.3,2,2.6,13.6,8.1,7.5,3,21.7,16.5,7.9,34.7,41.8,28.02,23.4,16967,397027.8
18095,Madison,IN,3.2,4.1,9.2,6,3,2.3,14.6,8.1,5.3,2,22.1,16.7,8.4,34,41.3,46.13,18.1,15868,287210.8
18097,Marion,IN,2.7,4.1,11.9,27.1,8,1.2,15.8,9.5,13.7,1,23.7,17.4,12.6,32.3,37.5,42.83,19.3,84042,1622010.6
18127,Porter,IN,3.4,4.3,6,4.2,1,1.9,8.5,6.1,11.6,2,21.7,16.7,8.3,34.1,41.2,31.48,19.9,23473,467112.7
18141,St. Joseph,IN,3,4.7,8.5,12.2,2,1.1,15.4,9.4,10.5,3,22.4,16.1,8.5,29.3,43,41.1,14.7,29612,435296.4
18157,Tippecanoe,IN,4.4,3.7,7.7,6.1,2,1.5,16.8,7.8,10.3,3,20.4,14.1,8.8,30.8,44.2,29.08,15.1,18112,273491.2
18163,Vanderburgh,IN,3.5,3.9,8.5,8.4,2,1.3,12.8,7.2,3.7,3,21.9,15.4,8.7,31.9,39.7,34.88,21.5,24532,527438.0
18167,Vigo,IN,3.2,4.2,9.3,5.7,2,1.3,18.3,8.2,3.2,3,26.1,18.9,10.2,40.3,39.8,27.3,23.1,16092,371725.2
19153,Polk,IA,3.2,3.2,7.5,7.2,4,1.1,10.2,6.7,10.3,3,21.4,13.9,7.6,30.1,51.1,31.71,12.9,52950,683055.0
19163,Scott,IA,3.1,3.8,5.9,7,2,1,11.7,5.2,7.3,3,20.4,13.3,9.6,30.7,26.8,34.03,15.1,22142,334344.2
19193,Woodbury,IA,6.1,3.1,12.4,4.8,2,1.4,13.6,8.1,19.1,3,21.8,13.9,7.5,27.5,57,31.56,13.6,12801,174093.6
20091,Johnson,KS,2.7,3.2,3.4,4.8,7,0.8,6,6.1,9.3,2,22.2,14.5,6.2,33.3,51.5,33.72,13.6,66456,903801.6
20173,Sedgwick,KS,2,3.9,10.5,7.5,6,1.1,12.5,11.6,16.5,3,25.2,17.3,6.3,34.1,22.8,29.42,12.9,64141,827418.9
20177,Shawnee,KS,3.4,3.7,6.7,6.5,3,1.4,12,9.5,13.8,3,21.6,14.3,9.3,29.1,52.2,19.4,16.5,31716,523314.0
21059,Daviess,KY,3.6,4.7,8.1,4,1,1.5,14.2,5.8,4.2,3,25.7,16.9,8.7,40.8,35.6,34.52,17.3,14529,251351.7
21067,Fayette,KY,3.1,4,7.9,14.3,5,0.8,12.7,7.2,9.5,3,24.8,17.3,8.2,28.9,41.9,44.13,13.5,28206,380781.0
21093,Hardin,KY,3.9,4.9,7.6,10.6,1,1.9,12.7,6.2,6.4,3,24.4,17.4,7.7,32.3,34.4,30.32,21.5,14449,310653.5
21111,Jefferson,KY,3.1,4.6,8.7,20.5,6,1.1,14.6,6.2,8.5,1,24.4,17.6,10.5,30.8,44.4,40.43,20.0,89183,1783660.0
22015,Bossier,LA,3.6,3.9,9.1,23.5,0,2.1,16.5,7.8,8.3,3,28.4,19.8,10.3,35,44.3,29.28,20.4,15206,310202.4
22017,Caddo,LA,3.6,4.5,12.1,48.6,5,0.7,22.1,8.5,3.8,3,29.5,20.6,10.7,33.5,33.7,34.49,20.2,33292,672498.4
22019,Calcasieu,LA,2.5,4.5,10.2,23.3,4,1.3,15.5,7.5,5.3,3,27.3,19.8,6.8,36.7,12.6,24.76,17.6,28246,497129.6
22033,East Baton Rouge,LA,2.5,4.2,9.2,43.5,5,1.1,22.2,7.7,6.8,3,28.1,20.9,9.5,32.1,28.4,52.73,16.3,36040,587452.0
22051,Jefferson,LA,2.9,3.9,13.7,25.1,4,1,17.1,10.9,18.8,3,24.3,18,7.7,31.3,37.1,63.89,21.5,31994,687871.0
22055,Lafayette,LA,2.6,3.5,9.8,25.3,3,0.9,16.5,9.6,6.7,3,26.3,18.2,8,39.4,27,25.83,14.7,29718,436854.6
22071,Orleans,LA,3.3,4.9,10.4,53.8,3,0.8,21.3,7.9,8.1,3,27.6,21.1,7.8,27.4,23,57.6,18.1,27661,500664.1
22073,Ouachita,LA,2.8,4.5,11.6,37.1,3,1,19.6,8.3,3.7,3,27.7,19.9,7.3,36.9,26,35.11,20.7,18886,390940.2
22079,Rapides,LA,3.4,4,12.1,30.7,3,1.2,18.8,8.8,4.2,3,27.7,21.4,7.5,39.1,28.8,26.82,16.7,20592,343886.4
22103,St. Tammany,LA,3.1,3.8,8,12,4,1.2,10.2,7.1,8.2,3,26.4,18.3,8.9,39,37.4,54.43,17.9,24513,438782.7
22105,Tangipahoa,LA,3.2,4.8,16.3,29.2,3,2.5,19.4,8.3,5.7,3,29,20.1,7.8,38.1,28,46.49,27.0,12865,347355.0
22109,Terrebonne,LA,3.6,3.9,15.9,18.3,2,1.8,18,9.1,7.2,3,27.4,18.5,7.5,42.9,10.2,35.34,19.8,13859,274408.2
23003,Aroostook,ME,4.6,4.1,8.9,0.7,4,1,14.9,9,1.7,4,20.3,14.3,6,33.9,22.4,32.63,12.3,13651,167907.3
23005,Cumberland,ME,3.2,2.4,3.2,3.3,4,0.6,8,6.2,2.8,3,20,13.6,9.2,26.3,33.1,50.49,12.9,32946,425003.4
23011,Kennebec,ME,5.5,2.9,5.2,0.8,3,0.9,11.2,7.4,2.2,4,20,14,6.1,28.2,27.3,49.24,12.0,16315,195780.0
23019,Penobscot,ME,3.7,3.2,5.2,1.1,4,0.8,14.2,8.1,2,3,20.4,14.4,4.3,28.6,15.8,40.06,16.2,22434,363430.8
23031,York,ME,2.9,2.7,4.6,1.1,2,1.6,7.5,6.7,2.1,3,20.2,13.5,7.3,28.6,36.6,41.48,15.1,30577,461712.7
24001,Allegany,MD,5.8,4.7,9.6,6.8,1,2,16.6,6.1,1.9,4,25.5,16.2,7.2,34.1,31.7,4.51,15.6,16124,251534.4
24003,Anne Arundel,MD,3,2.8,6.4,17.6,2,1.5,6.6,5.6,10.4,2,23,16.3,8.5,29.4,34.7,11.51,14.7,85965,1263685.5
24005,Baltimore,MD,2.6,3.3,8.3,30.1,4,1.1,9.3,6.4,7.7,2,25.2,17.7,8.3,30.8,23.3,14.58,16.4,138653,2273909.2
24013,Carroll,MD,2.7,2.5,4.7,4,1,2.3,5.8,4.4,5,2,23.8,15.9,8.5,33.7,35,9.81,12.4,30279,375459.6
24021,Frederick,MD,2.7,2.7,6.6,10,1,1.8,5.3,5.7,12.8,2,23,15.2,8.5,34.6,30.5,10.26,10.6,39336,416961.6
24025,Harford,MD,2.5,2.9,4.9,14.1,1,2,6.9,4.9,5.7,2,24.4,16.1,7,31.8,26.2,9.9,13.7,44279,606622.3
24027,Howard,MD,3.3,2.7,5,19.6,1,0.5,5.5,4.5,8.6,2,23,16.1,7.4,26.8,41.1,11.6,10.5,43648,458304.0
24031,Montgomery,MD,3.9,2.8,8.7,18.2,7,0.8,7.5,7.9,21,2,24.4,17.5,6.1,24.9,37.9,14.29,8.0,145432,1163456.0
24033,Prince George's,MD,2.9,3.4,13.4,58.1,4,2.1,10.4,11.4,22.5,2,26.6,20.4,7.2,24.9,23,17.66,17.4,112131,1951079.4
24045,Wicomico,MD,4.4,3.6,9.2,26.4,1,1.4,16,8.3,7.1,3,24.9,17.5,7.4,33.4,29.1,6.48,10.6,18579,196937.4
24510,Baltimore City,MD,1.8,4.3,12.3,58.5,10,0.8,18,7.2,8.2,1,29.6,23.5,8.6,29.2,15,20.54,21.9,79020,1730538.0
25001,Barnstable,MA,4.5,4.7,3.8,2.7,2,1.2,8.6,3.1,3.6,3,21,13.8,6.1,29.8,24.3,17.68,12.2,64227,783569.4
25003,Berkshire,MA,5.2,4,5.9,2.5,2,0.8,11.3,2.8,5.8,3,23,14.7,7.2,29.4,45.8,10.31,18.4,31446,578606.4
25005,Bristol,MA,3.2,4.6,13.3,4,5,1.8,10.2,3.9,10.1,2,20.8,13.9,6.7,32.3,26,23.16,19.7,94312,1857946.4
25009,Essex,MA,2.9,4.1,9.9,3.4,5,1.4,9.3,3.6,24,2,21.3,14,6.5,30.3,27.7,26.7,19.0,118502,2251538.0
25011,Franklin,MA,4.3,3.6,5.5,1.2,1,1.6,10.2,3,5.4,4,20.3,14.1,6.7,27.6,39.4,23.06,19.5,14532,283374.0
25013,Hampden,MA,3.3,5,12.8,7.6,5,1.4,16,3.8,27,3,21.1,15.1,7.7,29.2,44.1,36.99,24.4,65043,1587049.2
25015,Hampshire,MA,4.3,3.8,4.6,2.4,1,0.9,12.3,2.4,7.3,3,20.5,13.5,5.5,26,51.5,23.12,16.4,27071,443964.4
25017,Middlesex,MA,3.5,3.5,6.8,4.7,9,0.8,7.8,2.4,9.2,2,20.7,13.9,6.9,28.8,23.5,28.07,17.9,197671,3538310.9
25021,Norfolk,MA,3.3,3.6,5.6,7.1,3,0.8,6.4,2.1,5.8,2,21,14,7.7,29,29.2,24.3,19.3,101610,1961073.0
25023,Plymouth,MA,3.7,4.1,6.9,7.7,3,1.6,7.3,2.7,4.8,2,21,13.9,6.8,31.6,31.2,21.72,18.7,89564,1674846.8
25025,Suffolk,MA,3.4,3.9,12.5,17.1,8,0.6,15.5,3.6,23.2,1,22.1,16.5,8.1,28.4,19.7,32.55,23.6,72675,1715130.0
25027,Worcester,MA,3.4,4,8.8,4.7,7,1.1,9.6,3.2,13.7,3,20.6,13.6,8.2,31.2,26.5,37.24,18.4,100483,1848887.2
26017,Bay,MI,3.9,5.5,8.1,1,1,2.2,11.8,5.6,5.9,3,22.3,16.3,6.8,40.8,31.1,45.96,24.1,14522,349980.2
26021,Berrien,MI,2,5,7.7,13,2,1.2,13.4,7,6.3,3,24.4,16.4,8.6,30.5,48.6,40.94,17.2,21377,367684.4
26025,Calhoun,MI,3.8,5.2,8.6,9.5,2,2,14.5,6.1,5.9,3,23.7,16.8,8.5,32,32.6,37.16,16.4,19518,320095.2
26049,Genesee,MI,3.3,5.6,8.4,19.1,3,1.2,18,5.9,4.2,3,28,20.4,7.5,37,21.2,55.67,21.3,40239,857090.7
26055,Grand Traverse,MI,4.4,3.9,4.3,0.8,1,0.7,8.4,5.1,3.3,3,21.2,14.4,6.2,29.4,48.3,48.81,14.7,11684,171754.8
26065,Ingham,MI,3.6,4.5,6.3,11,2,0.8,18.1,5.4,8.7,3,24.8,17,7.1,31.2,31.9,47.04,17.7,26122,462359.4
26075,Jackson,MI,2.3,4.8,7.6,7.3,1,2.1,11.3,4.8,4,3,23.8,17.1,8.6,32.9,22.8,40.21,20.7,21071,436169.7
26077,Kalamazoo,MI,3.3,4.1,5.3,10.7,2,0.9,11.6,5,5.9,3,22.5,16.5,7.3,30.6,42.4,52.33,14.9,23801,354634.9
26081,Kent,MI,1.8,3.9,7.7,9.4,3,1,9.2,5.8,11.6,1,20.9,15.1,8.1,31.3,38.3,62.15,15.0,41547,623205.0
26093,Livingston,MI,3.7,3.3,3.6,0.5,1,2,5.4,3.4,2.9,2,22.5,15.7,9.1,32.6,53,44.78,18.2,22038,401091.6
26099,Macomb,MI,2.9,4.5,9.2,12.6,3,1.7,10.8,5.5,3.1,2,24.9,16.8,7.3,38,26.1,46.18,26.1,96260,2512386.0
26121,Muskegon,MI,2.9,5.1,7.9,11.9,1,1.8,16.8,5.4,6.2,3,23.5,16.2,7.9,31.7,45.7,59.16,18.8,16160,303808.0
26125,Oakland,MI,3,3.6,4.9,12.6,10,0.7,7.6,4.3,5,2,24.9,17.6,7.8,34.4,30,43.49,20.7,139393,2885435.1
26145,Saginaw,MI,2.8,5.8,8.4,18,3,1.1,16.8,5.3,9.2,3,24,18.5,7.9,34,33,52.87,19.2,21560,413952.0
26147,St. Clair,MI,3,4.5,8,2.1,3,2.4,10.9,5.2,3.6,2,24.6,16.9,7.6,37.1,22.8,45.61,23.4,20598,481993.2
26161,Washtenaw,MI,3.2,3.8,4,11.2,5,0.6,13.9,4.2,5.7,3,23.2,16.5,8.7,27.2,51.2,39.62,15.5,36729,569299.5
26163,Wayne,MI,2.3,5.5,12,36.5,14,1.4,22.1,6.3,6.8,1,28.3,21.1,12.7,34.8,23,51.12,28.5,161615,4606027.5
27003,Anoka,MN,3,3.1,5.6,8.8,1,2.2,6.9,4.7,5.8,2,19.6,13.5,6.9,31.3,48.1,55.21,18.5,26457,489454.5
27037,Dakota,MN,3,2.9,4.8,7.6,1,1.6,7.1,4.4,8.6,2,19.2,12.3,7,29.8,56.3,50.13,15.6,35872,559603.2
27053,Hennepin,MN,3.4,2.9,5.9,13.3,8,0.8,9.5,4.8,7.8,1,19.8,13.8,8.3,27.5,53.3,51.96,14.3,97027,1387486.1
27123,Ramsey,MN,3.3,3.1,8.3,12.1,3,1,13.3,6.1,8.3,1,20.2,14.4,8.1,28.6,58,50.61,15.1,45414,685751.4
27137,St. Louis,MN,6,3.5,4.9,1.6,8,0.8,12.7,5,1.9,3,18.9,12.1,6.1,27.7,53.7,60.71,13.0,18661,242593.0
28033,DeSoto,MS,4,2.9,8.3,32.6,2,3.3,9.6,10.2,5.7,2,28.1,20.8,8.2,38.6,31.3,23.85,20.3,22488,456506.4
28047,Harrison,MS,3.8,2.9,10.6,23.3,5,2,15.9,13.1,6.9,3,28.4,20.6,9.2,33.7,16.5,29.27,19.7,28623,563873.1
28049,Hinds,MS,2.5,3.2,11.3,71.7,5,1,22.2,12.9,2.1,3,27.8,23,9.8,28,26.6,37.05,17.2,27096,466051.2
28059,Jackson,MS,4.2,3,11,18.8,1,2.3,13.8,12.3,7.6,3,27.8,20.8,8.6,34.7,45.4,31.62,20.2,19653,396990.6
28067,Jones,MS,4.9,2.6,12.7,28.2,1,1.8,19.2,13.6,6.2,4,31.6,23.7,9.7,39.4,37.5,28.55,17.9,10171,182060.9
28121,Rankin,MS,4.4,2.3,9.7,20.9,2,1.6,8.9,9.6,3.3,3,26.6,19.4,10.2,32.2,28.5,24.25,13.4,21501,288113.4
29047,Clay,MO,2.7,3.3,5.8,6.8,3,1.6,8.9,7.2,7.9,2,24.5,15.7,6.2,34.6,53.2,35.25,15.9,27755,441304.5
29077,Greene,MO,4.5,3.3,6,2.9,2,1.1,10.5,9.7,5.1,3,24.4,15.6,7.2,29.9,56.4,50.62,15.4,29399,452744.6
29095,Jackson,MO,1.9,3.9,8.3,22,10,1.1,14.3,10.5,11.4,1,24.7,16.7,9.6,33.4,42.2,45.54,18.7,68734,1285325.8
